Project, OldVersion, NewVersion
qos-ch_logback,b25c0e8d3f946052bd21bb24f5d9ea789f6203a4,03e26684d43066d53dbf926e060a73d43bee77fd
hibernate_hibernate-tools,00e388226b26d1f77b0454ad042bdb026873637f,a3da59df2be1793129f675725b87c29182803a66
spring-projects_spring-hateoas,3b30c7832ea77a574287336f711382f915a3917d,01084c5fbd11556e5367ed1e3b032afbeb9a52cd
apache_qpid-jms,cfb65ee616ef4f4d3e0ce36c93c5d4dd8800940c,6e1f4f672a91618a2dd2caf83490c60295d7e6cc
groupon_DotCi,a024fc9388e3fdd154db3ba6e47c523488f5ec7d,e1364b4cc33b817884b64b186e6ee845df5fa6ac
tomwhite_hadoop-book,6d89afcf2633a009d013c17e38e5dbb4502187e1,472f6a86ed5865de2abde79eed1c267d0621ed00
apache_commons-io,037078f7e9cdf698f14a4612836921080c48adfe,cda58d87c3e53865c9fa2e69e91f8862e8837e77
kpelykh_docker-java,26b4069bb1985a8c293a016aaf9b56979771d75b,26b4069bb1985a8c293a016aaf9b56979771d75b
RestExpress_RestExpress,6ebd3e7b4b3cf67c5d965511556949e5a756b407,5af1eb3b6bbe706e7f09880372ade5076880303b
wg_lettuce,0337f8e34a9839e4ed655e3142ce3c998028b144,5141640dc8289ff3af07b44a87020cef719c5f4a
adamfisk_LittleProxy,6dfccec7a40c29602b6d922bbf560fd93b92122c,3c085459d84059bdac4b64f37898a390d88b9735
forcedotcom_phoenix,5e49d5f940f9dbd2538fb890f0cc6697068c74ac,5e49d5f940f9dbd2538fb890f0cc6697068c74ac
apache_maven-artifact,25d53091fdf89925dff6008c11c645955005bb39,ab6be5e8c9d05f20dd37f813063482493788d1e9
komoot_photon,0e932a1909702ab0bddd940f76cfdfad8390d709,120af49abadb624b2c44a7ec93ce3d9b3fc42749
apache_james-mime4j,dbe2d960888dfbb92cb555dfb0d3215151b310e0,96126301575fff168df0403588833daa42192c50
jenkinsci_git-plugin,f53bbf2e10a5790c5785491d26746f9f27489985,b0a4057298808407801d86550b73ec5614dc5683
gresrun_jesque,e99746c4bf591d1fadcdf878d9eea8e0ebd3d837,5483d4efd0c1da48b97add10d1cca9349f8664b9
greenrobot_greenrobot-common,2822b00f4704663fd056761dac05ed7cee59f7ca,26d43cbcde157b7986c7b61caca09b336d9de710
webmetrics_browsermob-proxy,ecace1136d3f7cedd2e763dcd2762326b5009a7f,a9252e62246ac33d55d51b993ba1159404e7d389
kencochrane_raven-java,362cba859d2bcd53eab152e48307dfdf0387af93,a494bedc14a476d40649a59e5ba4d7e4e4f33f97
apache_avro,60d9ef0ad24d91735210830b2481e884ec45c9e7,191badb80281498611ffcbc0e79b9b020a3d5096
linkedin_camus,3f6b46943a1ebcc3d0fc49209e0f400081a2d110,f7e638db8ad693eb773ec41522a02b03c125f282
linkedin_indextank-engine,f2354fe9db43786126e304d12aae4322ae7b98b1,f2354fe9db43786126e304d12aae4322ae7b98b1
eclipse_jgit,f6911065471f7bb312e4863d701431813d6fdbdb,534fcb14795ac8cb1107cda9be1de4f5e1f38ea1
ninjaframework_ninja,68a1417a93c620f6dff9af4eb5a1895ab765e22a,3acf16ab5005a9cf5ac9040b94d352525fd75adb
apache_commons-lang,3acffccf15027bcf87e25a432f085c45e103b0ec,6c687c70a1d5cdbc71c113b7d7402dd89a942849
leleuj_pac4j,90a6b8f6de95bea071290eba1460078bb3b4d2de,51f58ddcfb3e09608b1801d852138cf74f6fd71e
apache_santuario-java,37770e811959a83842d11d8851318910f098f4be,d3bda3acf381865f3142f4ee485a35bd2e343b45
apache_knox,cc37cf2fd73ac678373f535248901586fac03084,d88194a2632b66445a6561e5937661d4d38bc274
spring-projects_spring-security-oauth,4a0574fde141d2e3eda0e95258db19b709ec6783,a0352ca3d6f2c2a336ce5b1c442e812479cda8f3
apache_struts,791364cf6d97528ec75b8859450204150d55ed5e,095960b5691d33f127000794b3e79638cf384652
apache_ode-jacob,a5c5ae75c1949f00ac5b7dd1e08307b7dae174d9,5eeed6214c03ac7c8ac6d003233003ed2958fc07
metamx_druid,3982301484b5271eb994e654aecd118a4c837973,c738c0e1cd402885511e2b658b7b40770fd18a36
apache_commons-jexl,61c8e3963bc2178031ca9c606c0fdbef9d045f19,efb0661385478527aa484cb0546461f6b9d8a975
kohsuke_github-api,a5425a3c716e96b249b4c2410ca710e4caab5e0e,a2f0837d14147ff2a2fa87de404381c9fa383bff
apache_qpid-java,0ed27e57901ccea77fcb7c34b1641f71c569f126,0c6366675366a0afcdd700f8c003dc445a9216c5
tdunning_t-digest,c8a9181294506f17f7a08019e3071a1366bd6904,55c74b364a42c5b383de562a377f6556dd911114
apache_tika,7212465503d9be43d2a14d8760c82d7ce5716f5a,1af1078adcb746fced8c71e4afe5b4d008a3f6b8
jline_jline2,ae3a537dcfa86bd9a0588732b7f344b3f3ee7462,6b1074908f4001026ba923ed64960d9f6c7491ec
apache_commons-dbutils,a36aeedc119669fafbc5552107936ef3ee019334,465e5e4d218b8ec19f057c2b6bfc1a20680020d3
HdrHistogram_HdrHistogram,ce4e3dbe89bbaf3b512a1da73bd24e348475cbdb,1f0d1dc9d4055c1b1118fa59c7905072b0ff0e0f
internetarchive_heritrix3,f5107f60b8a66b4c0181bb149ff995cff19b8c2c,f7d1ad7f1f76b05d7e6a77b58b48ec8422d34172
dropwizard_metrics,76c3782a7619beb8efdd655a90a4085407835ba7,9ba1053b578ce6d072b66d0c2e8acb52109b9d08
apache_commons-cli,8aecb3451c1d27ad1a6a15f1fc2916186db85cb4,58139aefcacfa7954de1552c2ec5640ddbaf3713
searchbox-io_Jest,0438004e1222c551c7d3b598aa0fba92db410f61,4b9e6cfc17e49d488bd4a1f524b50ee38614162b
notnoop_java-apns,3871ceb0c53702fb0cb0989435feb7aa654c4358,4c0bc5efb8a30672f1d8977dad0a66c343a14d43
hmsonline_storm-cassandra,012f682c61308d9b0c85be30a134da74eea079ec,94303fad18f4692224187867144921904e35b001
j256_ormlite-core,d58090d36410ec91efe1dfa6f828eb8c529ae32a,8fee5bb664b05a7bfb657e80ae912e7758b7e124
jmxtrans_jmxtrans,726c400e98dc4f47083e5b41dd742a1ab45567c8,1812cc5d2c07d16ad40c027c621bd3ce6e3bd79e
OpenConextApps_apis,0a90d11b7c0534b7835ba196e91be41789d17e3f,4a3790363ea9a5e7cd6c1099511ac2ea65e258c2
apache_kylin,a6515e05cd86d533fe7abe4cedd629e930b47ff4,800fbd2181a106890c05015f5137aad55637c15f
joelittlejohn_jsonschema2pojo,bee35eb4a1f762970f09b7124e19fcb101eda42f,873890e93c781d8ee428a765f1ced06c7db36d54
Esri_geometry-api-java,e8eb988435197afb48d799721ea9bdf0bd74efb2,3b47c403283c722a518ee692821827af6750bd7e
SpringSource_spring-security-oauth,4a0574fde141d2e3eda0e95258db19b709ec6783,a0352ca3d6f2c2a336ce5b1c442e812479cda8f3
rcongiu_Hive-JSON-Serde,5279e6ccf943883cb7a6c846f1f08a61a1b96a51,bc7fe2af11d0886b77c1c95982d15057cd28c156
FasterXML_jackson-core,2e262b903c99f2884fc706ee797aaf35205dbf96,d9d6f1afcf3c5889090b13ebd6c411a49d1bb0c4
flyingsaucerproject_flyingsaucer,7fd97e4d09d4e07a261c5fea94c30947fd547616,854e182718a52b136ed69f74b22fbd0f18fe8dcb
chanjarster_weixin-java-tools,0d6712f70987b1f7f5ee658c0b1b1cd0cd95ca87,6a8fd455dc1b7e16bd8fe576bd586b7b9ad40e95
basho_riak-java-client,c238e18453ff8c75ad0b68c43bf485dc57238c37,c380d0cf1a13388d6e7bc32b62b5f701848eb056
julianhyde_linq4j,9c404c6655575ac1cfb119ddbf1caa4a3ca95e9e,6cac5e4fedb90cd98198f365665fcb9342f49c21
SpigotMC_BungeeCord,d76c8d4f33eb0f0cabc4f821deedb5356972c816,ec48077dbe2c2c4164468b874d0cb8da949b4d4e
julianhyde_optiq,c36616744e5875e03d77cc239d429473623d8464,d44bdfb4525646027006aba95d05a6f8100afd2a
apache_commons-compress,8271475f973945e776ca91142349b8618c6f619e,b5071c2f8bcaa96cc9efb0214b2896cc26996ca9
SpringSource_spring-roo,9359241ca02f7046d1c43dbb29861b4e1848d6fe,a207ec0ac9266934eee8fa54da5780fce98747fb
Bukkit_Bukkit,945ff9eebb8016509c389df77b55f4beb2f44601,f210234e59275330f83b994e199c76f6abd41ee7
apache_commons-configuration,102a2dd7cf9b947100359af15f99d152998d299d,7344ddb46c70f689b45a0c31eebfc38d4c89c24c
apache_commons-csv,3faabbfc3af4437b14507d84bf7481d9fa5cafb8,b97cf1d6e1db0377ba0864386fbde48a38cc8782
twilio_twilio-java,f15ae8e37a1d852569483182422da0831c969cd9,a042d0111088ed82178ff7723c9b634a0e0d7853
mpatric_mp3agic,681ed4c939fc97b1b4f7f356d1edc2f3916354bc,b5eeb47c2dae563147c32ce46430e7542e0cbb21
logstash_logstash-logback-encoder,4cb489c12a72e73aa491ce91e0f559e2865569dc,fe17c8bd3c016149bb68ae0730b283ffa94b7c64
